"masqdialer","tcp","224","","2.5E-5"
"masqdialer","udp","224","","0.0"
"unknown","tcp","225","","1.0E-4"
"unknown","udp","225","","3.3E-4"
"unknown","tcp","226","","1.3E-5"
"unknown","tcp","228","","1.3E-5"
"unknown","tcp","229","","1.3E-5"
"unknown","tcp","230","","5.0E-5"
"unknown","tcp","231","","3.8E-5"
"unknown","tcp","233","","2.5E-5"
"unknown","tcp","234","","1.3E-5"
"unknown","tcp","235","","2.5E-5"
"unknown","tcp","236","","2.5E-5"
"unknown","udp","236","","3.3E-4"
"unknown","tcp","237","","6.3E-5"
"unknown","tcp","238","","1.3E-5"
"unknown","udp","238","","3.3E-4"
"unknown","udp","239","","3.3E-4"
"direct","tcp","242","","0.0"
"direct","udp","242","","3.62E-4"
"sur-meas","tcp","243","Survey Measurement","0.0"
"sur-meas","udp","243","Survey Measurement","4.94E-4"
"dayna","tcp","244","inbusiness","0.0"
"dayna","udp","244","","4.61E-4"
"link","tcp","245","","0.0"
"link","udp","245","","6.26E-4"
"dsp3270","tcp","246","Display Systems Protocol","0.0"
"dsp3270","udp","246","Display Systems Protocol","5.93E-4"
"subntbcst_tftp","tcp","247","subntbcst-tftp","0.0"
"subntbcst_tftp","udp","247","","4.12E-4"
"bhfhs","tcp","248","","1.3E-5"
"bhfhs","udp","248","","5.11E-4"
"unknown","tcp","249","","5.0E-5"
"unknown","tcp","250","","1.38E-4"
"unknown","tcp","251","","1.25E-4"
"unknown","tcp","252","","8.8E-5"
"unknown","tcp","253","","3.8E-5"
"unknown","tcp","254","","0.001832"
"unknown","tcp","255","","0.002409"
"fw1-secureremote","tcp","256","rap | also ""rap"" | RAP","1.63E-4"
"rap","udp","256","","6.92E-4"
"fw1-mc-fwmodule","tcp","257","set | FW1 management console for communication w/modules and also secure electronic transaction (set) port | Secure Electronic Transaction","1.0E-4"
"set","udp","257","secure electronic transaction","5.11E-4"
"fw1-mc-gui","tcp","258","also yak winsock personal chat","1.3E-5"
"yak-chat","udp","258","yak winsock personal chat","4.94E-4"
"esro-gen","tcp","259","efficient short remote operations | Efficient Short Remote Operations","2.01E-4"
"firewall1-rdp","udp","259","Firewall 1 proprietary RDP protocol http://www.inside-security.de/fw1_rdp_poc.html","8.4E-4"
"openport","tcp","260","","2.5E-5"
"openport","udp","260","","3.62E-4"
"nsiiops","tcp","261","iiop name service over tls/ssl | IIOP Name Service over TLS/SSL","2.5E-5"
"nsiiops","udp","261","iiop name service over tls/ssl","6.59E-4"
"arcisdms","tcp","262","","3.8E-5"
"arcisdms","udp","262","","5.77E-4"
"hdap","tcp","263","","0.0"
"hdap","udp","263","","5.44E-4"
"bgmp","tcp","264","","0.001029"
"fw1-or-bgmp","udp","264","FW1 secureremote alternate","4.61E-4"
"maybe-fw1","tcp","265","x-bone-ctl | X-Bone CTL","1.3E-5"
"x-bone-ctl","udp","265","X-Bone CTL","0.0"
"sst","tcp","266","SCSI on ST","0.0"
"sst","udp","266","SCSI on ST","0.0"
"td-service","tcp","267","Tobit David Service Layer","1.3E-5"
